budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt,plot_fraction,certified_percent,run_label,run_name,num_retained_prompts,num_total_rows_read,num_rows_filtered_shorter_than_horizon,padding_policy,horizon_filter_basis,family,method_label
35,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,2.0,102.0,0.9807692307692308,gurobi,OPTIMAL,2.0,2.0,0.0,0.9052708930103108,3.0,2.0,0.9807692307692308,98.07692307692308,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
50,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,9.0,95.0,0.9134615384615384,gurobi,OPTIMAL,9.0,9.0,0.0,1.8048575060092844,3.0,2.0,0.9134615384615384,91.34615384615384,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
50,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,3.0,101.0,0.971153846153846,gurobi,OPTIMAL,3.0,3.0,0.0,0.9230321069917408,3.0,2.0,0.971153846153846,97.1153846153846,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
75,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,16.0,88.0,0.8461538461538461,gurobi,OPTIMAL,16.0,16.0,0.0,2.299725518008927,3.0,2.0,0.8461538461538461,84.61538461538461,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
75,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,7.0,97.0,0.9326923076923076,gurobi,OPTIMAL,7.0,7.0,0.0,1.5012555160064949,3.0,2.0,0.9326923076923076,93.26923076923076,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
100,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,21.0,83.0,0.7980769230769231,gurobi,OPTIMAL,21.0,21.0,0.0,2.142225048999535,3.0,2.0,0.7980769230769231,79.8076923076923,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
100,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,10.0,94.0,0.903846153846154,gurobi,OPTIMAL,10.0,10.0,0.0,1.1891293689986924,3.0,2.0,0.903846153846154,90.3846153846154,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
125,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,24.0,80.0,0.7692307692307693,gurobi,OPTIMAL,24.0,24.0,0.0,2.3195475679967785,3.0,2.0,0.7692307692307693,76.92307692307693,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
125,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,13.0,91.0,0.875,gurobi,OPTIMAL,13.0,13.0,0.0,1.0160687520110514,3.0,2.0,0.875,87.5,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
150,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,696.0,26.0,78.0,0.75,gurobi,OPTIMAL,26.0,26.0,0.0,2.044946138994419,3.0,2.0,0.75,75.0,1B full H=15,1b_full_final_tool_baselines_top3,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
