budget,method,objective_mode,num_prompts,certified_prompts,certified_fraction,horizon,num_shards,num_events,max_failed_prompts,certified_prompts_lower_bound,certified_fraction_lower_bound,solver,solver_status,objective_value,objective_bound,mip_gap,time_seconds,top_competitors,max_targets_per_prompt,plot_fraction,certified_percent,run_label,run_name,num_retained_prompts,num_total_rows_read,num_rows_filtered_shorter_than_horizon,padding_policy,horizon_filter_basis,family,method_label
25,aggregate_tpa_mcp_validity,radius_derived,104,101.0,0.971153846153846,15,,,,,,,,,,,,,,0.971153846153846,97.1153846153846,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA MCP validity
25,dpa_max_target_token_validity,radius_derived,104,102.0,0.9807692307692308,15,,,,,,,,,,,,,,0.9807692307692308,98.07692307692308,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,DPA max-target-token validity
25,dpa_weakest_token_stability,radius_derived,104,96.0,0.9230769230769232,15,,,,,,,,,,,,,,0.9230769230769232,92.30769230769232,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA weakest-token stability
25,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,387.0,8.0,96.0,0.9230769230769232,gurobi,OPTIMAL,8.0,8.0,0.0,0.8592446889997518,1.0,2.0,0.9230769230769232,92.30769230769232,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
25,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,2.0,102.0,0.9807692307692308,gurobi,OPTIMAL,2.0,2.0,0.0,0.8891635649997625,1.0,2.0,0.9807692307692308,98.07692307692308,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
50,aggregate_tpa_mcp_validity,radius_derived,104,99.0,0.9519230769230768,15,,,,,,,,,,,,,,0.9519230769230768,95.19230769230768,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA MCP validity
50,dpa_max_target_token_validity,radius_derived,104,101.0,0.971153846153846,15,,,,,,,,,,,,,,0.971153846153846,97.1153846153846,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,DPA max-target-token validity
50,dpa_weakest_token_stability,radius_derived,104,95.0,0.9134615384615384,15,,,,,,,,,,,,,,0.9134615384615384,91.34615384615384,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA weakest-token stability
50,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,387.0,9.0,95.0,0.9134615384615384,gurobi,OPTIMAL,9.0,9.0,0.0,1.0340248430002248,1.0,2.0,0.9134615384615384,91.34615384615384,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
50,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,3.0,101.0,0.971153846153846,gurobi,OPTIMAL,3.0,3.0,0.0,0.8985606659989571,1.0,2.0,0.971153846153846,97.1153846153846,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
100,aggregate_tpa_mcp_validity,radius_derived,104,91.0,0.875,15,,,,,,,,,,,,,,0.875,87.5,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA MCP validity
100,dpa_max_target_token_validity,radius_derived,104,94.0,0.903846153846154,15,,,,,,,,,,,,,,0.903846153846154,90.3846153846154,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,DPA max-target-token validity
100,dpa_weakest_token_stability,radius_derived,104,83.0,0.7980769230769231,15,,,,,,,,,,,,,,0.7980769230769231,79.8076923076923,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,DPA weakest-token stability
100,joint_row_column_stability_milp,fixed_budget_adversarial_success,104,,,15,500.0,387.0,21.0,83.0,0.7980769230769231,gurobi,OPTIMAL,21.0,21.0,0.0,1.25349692799864,1.0,2.0,0.7980769230769231,79.8076923076923,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,stability,Joint row-column stability MILP
100,joint_row_column_validity_milp,fixed_budget_adversarial_success,104,,,15,500.0,448.0,10.0,94.0,0.903846153846154,gurobi,OPTIMAL,10.0,10.0,0.0,1.173284717999195,1.0,2.0,0.903846153846154,90.3846153846154,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Joint row-column validity MILP
150,aggregate_tpa_mcp_validity,radius_derived,104,88.0,0.8461538461538461,15,,,,,,,,,,,,,,0.8461538461538461,84.61538461538461,1B full H=15,1b_full_targets2,104,110,6,no_padding_none_rows_filtered,shortest_non_none_prefix_across_shards,validity,Aggregate TPA MCP validity
